iter	Passed	Remaining
0	136	136322
1	137	68647
2	138	46016
3	139	34622
4	139	27779
5	140	23212
6	140	19948
7	141	17497
8	141	15590
9	142	14063
10	142	12815
11	143	11775
12	143	10895
13	143	10140
14	144	9486
15	144	8913
16	145	8407
17	145	7958
18	146	7555
19	146	7195
20	147	6870
21	147	6572
22	148	6301
23	148	6051
24	149	5822
25	149	5610
26	150	5414
27	150	5232
28	151	5061
29	151	4903
30	152	4755
31	152	4616
32	153	4486
33	153	4364
34	154	4248
35	154	4138
36	155	4034
37	155	3937
38	155	3843
39	156	3755
40	156	3670
41	157	3590
42	157	3514
43	158	3441
44	158	3371
45	159	3304
46	159	3240
47	160	3179
48	160	3122
49	161	3065
50	161	3010
51	162	2958
52	162	2907
53	163	2858
54	163	2811
55	164	2766
56	164	2722
57	165	2680
58	165	2639
59	165	2599
60	166	2561
61	166	2524
62	167	2488
63	167	2454
64	168	2420
65	168	2388
66	169	2356
67	169	2322
68	169	2292
69	170	2263
70	170	2235
71	171	2207
72	171	2180
73	172	2154
74	172	2129
75	173	2104
76	173	2080
77	174	2057
78	174	2034
79	174	2012
80	175	1991
81	175	1969
82	176	1949
83	176	1929
84	177	1907
85	177	1888
86	177	1867
87	178	1849
88	178	1831
89	179	1813
90	179	1796
91	180	1779
92	180	1763
93	181	1747
94	181	1731
95	182	1715
96	182	1700
97	183	1685
98	183	1670
99	184	1656
100	184	1642
101	184	1626
102	185	1612
103	185	1599
104	186	1586
105	186	1573
106	186	1560
107	187	1548
108	187	1536
109	188	1524
110	188	1512
111	189	1501
112	189	1489
113	190	1478
114	190	1467
115	191	1455
116	191	1445
117	191	1434
118	192	1423
119	192	1413
120	193	1403
121	193	1394
122	193	1382
123	194	1373
124	194	1364
125	195	1355
126	195	1346
127	196	1336
128	196	1327
129	197	1318
130	197	1310
131	197	1301
132	198	1293
133	198	1285
134	199	1277
135	199	1269
136	200	1261
137	200	1253
138	201	1245
139	201	1238
140	202	1231
141	202	1224
142	203	1217
143	203	1210
144	204	1203
145	204	1196
146	205	1189
147	205	1182
148	205	1176
149	206	1169
150	206	1163
151	207	1156
152	207	1150
153	208	1144
154	208	1138
155	209	1131
156	209	1125
157	210	1119
158	210	1114
159	211	1108
160	211	1102
161	212	1097
162	212	1091
163	213	1085
164	213	1080
165	213	1075
166	214	1070
167	215	1065
168	215	1059
169	216	1054
170	216	1049
171	216	1044
172	217	1039
173	217	1034
174	218	1029
175	218	1024
176	219	1019
177	219	1014
178	220	1009
179	220	1005
180	220	999
181	221	994
182	221	990
183	222	985
184	222	981
185	223	976
186	223	972
187	224	967
188	224	963
189	224	959
190	225	954
191	225	950
192	226	946
193	226	942
194	227	938
195	227	934
196	229	935
197	230	932
198	230	928
199	231	924
200	231	920
201	232	916
202	232	912
203	232	908
204	233	905
205	233	901
206	234	897
207	234	894
208	235	890
209	235	886
210	236	883
211	236	879
212	237	876
213	237	872
214	238	869
215	238	865
216	239	862
217	239	859
218	240	856
219	240	853
220	241	849
221	241	846
222	242	843
223	242	840
224	242	836
225	243	833
226	243	830
227	244	827
228	244	824
229	245	820
230	245	817
231	246	814
232	246	811
233	247	808
234	247	805
235	247	802
236	248	799
237	248	796
238	249	793
239	249	791
240	250	788
241	250	785
242	251	782
243	251	779
244	252	776
245	252	774
246	253	771
247	253	768
248	253	765
