iter	Passed	Remaining
0	0	809
1	1	703
2	1	657
3	2	636
4	3	616
5	3	607
6	4	600
7	4	595
8	5	602
9	6	595
10	6	590
11	7	586
12	7	583
13	8	578
14	8	580
15	9	580
16	10	579
17	10	577
18	11	574
19	11	572
20	12	570
21	12	570
22	13	567
23	13	565
24	14	563
25	15	562
26	15	559
27	16	558
28	16	556
29	17	555
30	17	553
31	18	552
32	18	552
33	19	552
34	19	551
35	20	550
36	21	549
37	21	548
38	22	547
39	22	545
40	23	544
41	23	544
42	24	543
43	24	541
44	25	540
45	25	539
46	26	537
47	27	536
48	27	536
49	28	535
50	28	534
51	29	533
52	29	533
53	30	531
54	30	532
55	31	533
56	32	534
57	32	533
58	33	533
59	34	533
60	34	532
61	35	531
62	35	531
63	36	529
64	36	528
65	37	527
66	37	527
67	38	526
68	38	524
69	39	524
70	40	523
71	40	522
72	41	521
73	41	521
74	42	520
75	42	519
76	43	518
77	43	517
78	44	517
79	44	517
80	45	515
81	45	514
82	46	511
83	46	510
84	47	510
85	48	510
86	48	509
87	49	509
88	49	508
89	50	508
90	50	507
91	51	506
92	51	506
93	52	505
94	52	504
95	53	504
96	54	503
97	54	502
98	55	502
99	55	501
100	56	500
101	56	499
102	57	497
103	57	497
104	58	497
105	58	496
106	59	497
107	60	499
108	61	498
109	61	498
110	62	497
111	62	497
112	63	496
113	63	495
114	64	494
115	64	493
116	65	491
117	65	490
118	66	489
119	66	488
120	67	487
121	67	486
122	70	499
123	70	500
124	71	501
125	72	505
126	73	505
127	74	504
128	74	505
129	75	504
130	75	503
131	76	502
132	76	501
133	77	501
134	78	500
135	78	498
136	79	497
137	79	496
138	79	495
139	80	494
140	80	493
141	81	491
142	81	491
143	82	490
144	83	489
145	83	489
146	84	488
147	84	487
148	85	487
149	85	486
150	86	485
151	86	484
152	87	483
153	87	482
154	88	481
155	88	480
156	89	479
157	89	478
158	90	477
159	90	475
160	91	474
161	91	473
162	92	472
163	92	472
164	93	471
165	93	470
166	94	470
167	94	469
168	95	468
169	95	467
170	96	466
